TimeStamp,RAW-ENG,MIN-ENG,MAX-ENG,RAW-VAL,MIN-VAL,MAX-VAL,RAW-MED,MIN-MED,MAX-MED,RAW-FRU,MIN-FRU,MAX-FRU,RAW-FOC,MIN-FOC,MAX-FOC,RAW-EXC,MIN-EXC,MAX-EXC,MarkerRange,MarkerType,MarkerTitle
1472075283.940,5.624468,2.935160,5.808825,-0.699316,-0.737617,-0.096337,3.550197,3.379651,4.445145,-1.175359,-3.446671,-0.678771,-0.979295,-1.069035,-0.824962,-8.756675,-10.808394,-7.877599,0.0,0.0,0.0
1472075284.440,4.644873,3.424373,5.221152,-3.757008,-4.877764,-2.804640,-3.815032,-5.381034,-3.617063,-6.877672,-6.912212,-4.493879,2.655735,2.477853,2.723366,-2.429145,-3.099045,-0.772889,0.0,0.0,0.0
1472075284.940,-0.750313,-2.291378,2.860548,1.445483,-0.355377,1.581762,-2.109464,-3.160990,-0.557520,-2.835677,-5.808474,-1.638953,1.460847,1.158660,2.193869,1.767757,0.515889,1.971284,0.0,0.0,0.0
1472075285.440,1.566202,1.192878,5.030021,0.845973,-0.713896,0.991845,2.937944,2.822076,4.758733,-0.563789,-1.024606,-0.262204,1.556299,0.337558,2.194086,-3.180446,-4.706732,-2.662110,0.0,0.0,0.0
1472075285.940,1.848172,1.793757,1.883248,2.982564,2.167750,4.823406,-3.714259,-3.884985,-3.299549,-4.222048,-5.149530,-3.973668,-3.460744,-5.137516,-3.296169,-3.467254,-3.751236,-3.438514,0.0,0.0,0.0
1472075286.440,-0.080911,-0.896802,0.426246,-3.104506,-4.301326,-2.977174,1.311478,0.926453,2.277507,7.023314,6.955836,9.282758,-4.384906,-4.509899,-3.920791,-2.011929,-2.146260,-0.260237,0.0,0.0,0.0
1472075286.940,3.477502,2.787611,4.197043,1.353682,1.336668,1.620971,-5.815416,-6.423159,-5.802795,2.309021,1.874265,6.710866,3.481912,3.380699,4.408937,3.639454,3.025578,4.278627,0.0,0.0,0.0
1472075287.440,4.718504,4.431635,5.418299,-0.174826,-0.507952,2.177836,1.286411,0.387090,5.596341,-3.071692,-3.251978,-1.645344,2.773013,2.555639,3.854389,-5.258759,-6.446805,-5.128671,0.0,0.0,0.0
1472075287.940,-1.822458,-1.873548,-1.617233,-0.282403,-1.098910,3.137271,0.924658,-1.746073,1.764280,-1.702208,-2.041130,-1.651416,-4.617092,-5.799185,-4.398744,2.871409,2.802144,3.134580,0.0,0.0,0.0
1472075288.440,3.615837,1.821055,3.627183,1.161146,0.892550,2.419103,2.831713,2.516478,3.826827,2.295132,-2.022693,2.573833,-2.791917,-4.109573,-2.080619,-2.577058,-3.166612,-2.054473,0.0,0.0,0.0
1472075288.940,1.753952,-0.165941,1.803620,0.212060,-0.252569,2.312498,-4.314909,-4.355339,-3.106636,0.612122,0.173919,2.477860,-1.957910,-2.611657,-0.987824,-2.703038,-3.175415,-2.453055,0.0,0.0,0.0
1472075289.440,-0.556373,-1.842126,0.182860,-3.163945,-4.611317,-2.212774,0.904589,-1.619784,1.016833,-1.437952,-2.025157,-0.627953,-0.107785,-0.638216,0.818663,-1.999264,-3.522554,-1.937231,0.0,0.0,0.0
1472075289.940,2.065787,0.956280,2.110503,-1.726018,-2.694987,-1.024281,-0.028568,-1.900880,0.123817,-1.839429,-3.041782,-0.611441,7.806333,7.757352,10.139996,-4.528212,-4.702391,0.879284,0.0,0.0,0.0
1472075290.440,-1.581686,-2.471254,-1.235749,2.179624,1.995962,2.193701,3.310017,3.296656,3.349904,-1.620743,-2.240563,-1.595919,-1.009293,-3.464980,-0.966393,-5.305601,-6.249947,-5.025968,0.0,0.0,0.0
1472075290.940,-0.930952,-3.687367,0.391085,0.159366,-0.480288,0.970522,0.078564,-1.224402,0.199027,-0.445403,-0.891881,1.019242,0.290171,-0.850771,2.052184,-3.151095,-3.969408,-1.938017,0.0,0.0,0.0
1472075291.440,3.854948,3.768006,5.420491,-1.667970,-1.951536,-1.349519,0.649677,-0.528613,2.263739,5.061120,4.681986,5.512588,-4.599079,-5.854569,-2.220084,-3.644166,-4.996518,-3.223535,0.0,0.0,0.0
1472075291.940,-0.120189,-1.353602,1.866327,-2.055381,-4.167597,-1.900659,1.371571,-1.530436,1.757777,-8.017822,-8.041297,-6.593876,-6.233067,-9.111354,-6.035496,-1.240357,-1.547228,-1.204051,0.0,0.0,0.0
1472075292.440,2.378134,0.400360,2.519368,0.244554,-0.652265,0.435647,-3.133939,-5.391793,-0.799752,6.214304,6.185621,6.737047,-0.678861,-1.944952,0.347388,-1.491108,-6.920130,-1.408525,0.0,0.0,0.0
1472075292.940,-0.674799,-1.018294,0.916695,-2.759707,-4.410122,-1.832164,4.153541,3.283630,5.236509,-4.436923,-4.533140,-4.340319,-1.403539,-1.823481,-0.628052,-4.867130,-5.040920,-3.331543,0.0,0.0,0.0
1472075293.440,-4.624794,-6.349984,-1.553920,2.137510,1.648620,2.164869,5.729902,4.749983,6.201112,3.835223,3.270654,8.284509,4.039095,3.757670,4.313035,-4.128934,-4.604461,-0.908077,0.0,0.0,0.0
1472075293.940,1.684450,0.429960,3.436870,3.585018,-0.348703,4.504029,0.069973,-0.085565,0.630400,-1.905835,-3.493492,-1.161885,-1.530433,-1.810161,-0.830156,-2.321276,-3.097818,-1.429051,0.0,0.0,0.0
1472075294.440,1.150528,1.118094,3.654643,2.305126,0.818771,2.875500,-0.278118,-0.980523,0.666604,-2.644925,-6.566648,-1.473063,1.953204,0.845991,3.049824,1.162282,0.714464,1.419478,0.0,0.0,0.0
1472075294.940,1.568945,1.553880,1.791862,5.407034,5.174496,5.918813,-3.926019,-5.892221,-2.640679,-3.490846,-4.248826,-3.461646,-3.826843,-4.058570,-1.361322,0.753658,-0.606962,1.685920,0.0,0.0,0.0
1472075295.440,2.110886,-2.851625,4.446308,0.799401,-0.217554,3.071642,0.221094,-0.810568,1.818273,0.952751,0.940391,1.888437,1.240981,-0.080637,2.028945,0.503249,0.298626,2.107787,0.0,0.0,0.0
1472075295.940,-0.547695,-1.035465,-0.385047,-0.373325,-2.585289,-0.017296,-0.464880,-10.454026,-0.120309,4.104715,2.201702,5.187973,-2.608089,-2.957339,-2.359579,0.843870,-0.497575,1.556536,0.0,0.0,0.0
1472075296.440,2.635740,0.573797,2.645697,1.161727,1.084383,2.007087,1.331922,0.186947,3.285227,5.344267,3.090337,6.320131,-1.111312,-3.627425,1.767348,-5.032916,-5.651654,-1.799681,0.0,0.0,0.0
1472075296.940,-3.491043,-3.541085,-1.970115,1.577735,0.838901,2.160252,4.851977,3.522438,5.375560,1.163374,-5.050094,3.103121,-0.131851,-0.367904,1.191759,-0.264005,-3.087100,1.473794,0.0,0.0,0.0
1472075297.440,6.103262,5.470907,6.498520,-1.282000,-2.092149,-0.383330,-3.300696,-3.345033,-1.354074,2.135485,1.784876,4.323595,-0.962834,-3.065337,-0.325015,-0.424986,-0.538896,-0.095548,0.0,0.0,0.0
1472075297.940,0.946561,0.203198,1.331253,3.585124,0.388833,4.592633,1.815888,-0.378976,3.238498,5.668059,4.718239,6.151211,1.780440,-1.105091,3.714805,-5.284188,-5.839946,-4.367371,0.0,0.0,0.0
1472075298.440,5.406680,4.611032,6.124357,-0.587078,-1.867245,-0.584823,0.806680,0.368181,3.946625,3.847361,2.995413,4.235727,-2.352861,-2.419644,-2.246186,5.479373,4.055326,6.276878,0.0,0.0,0.0
1472075298.940,-2.833079,-4.101516,2.021866,4.021101,3.436856,4.580022,-0.937210,-1.520662,-0.531730,1.280424,1.221977,3.651215,0.689314,0.604933,1.159992,2.222773,-0.000351,3.944438,0.0,0.0,0.0
1472075299.440,-0.538293,-1.011825,-0.359445,-5.561200,-6.272873,-3.312626,-3.298844,-3.473055,-0.817070,-2.560246,-3.497199,0.093241,4.219312,0.332204,5.076061,-2.782763,-2.893855,-0.529720,0.0,0.0,0.0
1472075299.940,-0.874408,-1.103940,-0.799854,0.164802,-0.593115,1.072348,-2.861488,-3.019525,-1.433820,-0.896114,-4.296336,-0.604297,3.716477,2.098245,5.003796,0.145869,-0.266028,2.144557,0.0,0.0,0.0
1472075300.440,-6.267312,-6.749183,-5.408464,2.015910,2.001300,2.264110,-0.923768,-1.409745,-0.886020,0.450812,-1.562002,0.696815,-0.872238,-1.188046,1.383853,-3.329914,-4.345404,-3.197711,0.0,0.0,0.0
1472075300.940,2.283119,1.868335,2.456664,-2.530378,-5.563078,-2.405307,1.634318,0.339819,2.320292,7.032486,5.747606,7.376434,-1.297895,-2.412873,-0.875986,-5.370787,-6.809305,-3.285950,0.0,0.0,0.0
1472075301.440,1.431074,-0.190173,1.476206,0.682725,0.148944,1.515354,-0.875554,-1.329008,0.474365,-5.708822,-6.472512,-5.374137,2.518896,1.807923,2.530381,-4.771441,-5.783030,-4.399212,0.0,0.0,0.0
1472075301.940,2.903943,1.797735,6.474502,-4.866263,-6.765847,-4.370221,0.807821,0.395483,2.206399,3.654116,3.379390,3.869033,4.629571,4.337738,9.374654,4.941360,3.703495,5.113095,0.0,0.0,0.0
1472075302.440,1.302628,-0.421124,2.147807,0.799039,-1.011096,0.926680,-0.819527,-1.321097,1.032549,1.275026,0.861523,1.675507,1.155973,0.941668,4.201943,2.782858,2.034065,4.019175,0.0,0.0,0.0
1472075302.940,-1.617135,-2.429891,1.139941,-5.692210,-8.016817,-5.101910,2.721380,2.632898,2.790736,0.540357,-0.244233,0.649574,2.099176,1.652187,4.231079,3.846988,3.740652,4.478285,0.0,0.0,0.0
1472075303.440,4.927637,4.562652,5.507210,-0.890786,-1.776586,-0.209066,2.581444,0.709379,2.638249,-0.702202,-0.939604,0.905356,-0.454618,-0.774730,0.283366,2.010304,1.881618,3.704410,0.0,0.0,0.0
1472075303.940,-1.704453,-3.519984,-1.615882,-4.776947,-6.456662,-4.196303,-5.331235,-5.711594,-4.544188,-0.928564,-1.166438,0.293253,-2.374938,-5.865953,-2.231643,-4.658309,-4.675872,-4.565222,0.0,0.0,0.0
